AU-0456,small_airport,Gruyere Airport,-28.034548,123.81506,OC,AU,Gruyere Mine village
AU-0457,small_airport,Karara Airport,-29.217223,116.687154,OC,AU,Karara
AU-AGW,small_airport,Agnew Airport,-12.1456,142.149369,OC,AU,Agnew
AU-AYD,small_airport,Alroy Downs Airport,-19.2908,136.078995,OC,AU,Alroy Downs
AU-BYX,small_airport,Baniyala Airport,-13.1981,136.227005,OC,AU,Baniyala
AU-COB,small_airport,Coolibah Airport,-15.54829979,130.9620056,OC,AU,Coolibah
AU-CRJ,small_airport,Coorabie Airport,-31.89439964,132.2960052,OC,AU,Coorabie
AU-CRY,small_airport,Carlton Hill Airport,-15.50189972,128.5339966,OC,AU,Carlton Hill
AU-CSD,small_airport,Cresswell Downs Airport,-17.94799995,135.9160004,OC,AU,Cresswell Downs
AU-DYM,small_airport,Diamantina Lakes Airport,-23.76169968,141.1450043,OC,AU,Diamantina Lakes
AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,-20.05999947,148.8809967,OC,AU,Hayman Island
AU-HLV,small_airport,Helenvale Airport,-15.6857996,145.2149963,OC,AU,Helenvale
AUI,small_airport,Aua Island Airport,-1.460555556,143.0647222,OC,PG,Aua Island
AUJ,small_airport,Ambunti Airport,-4.215666667,142.8231667,OC,PG,Ambunti
AU-KBD,small_airport,Kimberley Downs Airport,-17.39780045,124.3550034,OC,AU,Kimberley Downs
AU-KGR,small_airport,Kulgera Airport,-25.84280014,133.2920074,OC,AU,Kulgera
AU-MYO,small_airport,Camballin Airport,-18.12470055,124.2720032,OC,AU,Myroodah
AU-OKB,small_airport,Orchid Beach Airport,-24.95940018,153.3150024,OC,AU,Orchid Beach
AUP,small_airport,Agaun Airport,-9.930833,149.385667,OC,PG,Agaun
AU-PEP,small_airport,Peppimenarti Airport,-14.14420033,130.0910034,OC,AU,Peppimenarti
AU-RDA,small_airport,Rockhampton Downs Airport,-18.95330048,135.201004,OC,AU,Rockhampton Downs
AU-SSK,small_airport,Sturt Creek Airport,-19.16640091,128.173996,OC,AU,Sturt Creek
AU-SWB,small_airport,Shaw River Airport,-21.51029968,119.3619995,OC,AU,Shaw River
AU-TPR,small_airport,Tom Price Airport,-22.74600029,117.8690033,OC,AU,Tom Price
AU-TWP,small_airport,Torwood Airport,-17.36330032,143.75,OC,AU,Torwood
AUV,small_airport,Aumo Airport,-5.731111111,148.4452778,OC,PG,Aumo
AU-ZVG,small_airport,Springvale Airport,-17.78689957,127.6699982,OC,AU,Springvale
AWE,small_airport,Alowe Airport,-0.545,9.444,AF,GA,Wonga Wongué Presidential Reserve
AWR,closed,Awar Airport,-4.124,144.853,OC,PG,Awar
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,AS,CN,Bayanhot
AXO,small_airport,Pantar Airport,-8.24638,124.21971,AS,ID,Alor Island
AYAQ,small_airport,Kompiam Airport,-5.381666667,143.9247222,OC,PG,
AYBK,medium_airport,Buka Airport,-5.422319889,154.6730042,OC,PG,Buka Island
AYBR,small_airport,Biaru Airport,-7.6693,146.7594,OC,PG,Biaru
AYCH,medium_airport,Chimbu Airport,-6.024290085,144.970993,OC,PG,Kundiawa
AYDK,small_airport,Munduku Airport,-4.6204,143.4516,OC,PG,Munduku
AYDL,small_airport,Kondobol Airport,-8.5336,142.5049,OC,PG,Kondobol
AYDN,small_airport,Dinangat Airport,-6.1546,146.6772,OC,PG,Dinangat
AYDO,small_airport,Doini Airport,-10.7009,150.7218,OC,PG,Castori Islets
AYDU,medium_airport,Daru Airport,-9.086759567,143.2079926,OC,PG,Daru
AYEB,small_airport,Embessa Airport,-9.447,148.7628,OC,PG,Embessa
AYED,small_airport,Edwaki Airport,-3.883986,141.792234,OC,PG,Yellow River Mission
